Sensor-57,Sensor-134,Sensor-76,Sensor-28,Sensor-164,Sensor-369,Sensor-108,Sensor-81,Sensor-449,Sensor-319,Good/Bad
0.927,1010.787,-0.0118,5.1583,0.125,0.002,-0.1042,-0.0814,0.2593,3.3199,-1.0
0.927,997.8064,0.0005,5.067,0.077,0.0046,-0.0842,-0.1074,0.1628,3.0776,-1.0
0.927,997.8064,-0.0019,7.332,0.15,0.0024,-0.0951,-0.1204,0.1132,3.8218,-1.0
0.9236,1003.0211,-0.0303,5.204,0.09,0.0041,0.0328,-0.1024,0.1932,3.6892,-1.0
0.927,1001.3796,-0.0199,7.3477,0.147,0.0015,-0.0762,-0.1118,0.1188,3.6771,-1.0
0.9265,1003.0211,-0.012,7.3343,0.136,0.0029,0.0073,-0.1069,0.1508,3.1892,-1.0
0.9313,1010.787,-0.0098,7.2885,0.118,0.0013,0.0964,-0.0973,0.1132,5.4389,-1.0
0.928,1003.0211,-0.0111,5.0948,0.131,0.0035,0.0578,-0.0986,0.2626,3.3058,-1.0
0.9337,1003.4291,-0.0136,7.2097,0.125,0.0177,0.2223,-0.1023,0.1932,2.3066,-1.0
0.9257,1001.3796,-0.0047,5.1245,0.079,0.0021,0.026,-0.1119,0.1934,3.201,-1.0
0.9248,997.8064,-0.0123,7.3025,0.077,0.0029,-0.0221,-0.0067,0.0881,3.6168,-1.0
0.9293,997.8064,0.0015,7.2693,0.146,0.0028,0.1657,-0.013,0.7905,3.0414,-1.0
0.9324,1003.0211,0.005,7.3215,0.167,0.0025,0.373,-0.083,0.1932,2.0332,-1.0
0.9361,1001.3796,-0.0086,7.2908,0.179,0.0037,-0.0132,-0.0923,0.1169,1.9058,-1.0
0.9329,1005.3318,-0.0035,5.1098,0.091,0.0034,-0.09,-0.112,0.3248,2.6153,-1.0
0.927,1006.0844,-0.0185,5.1645,0.131,0.0221,0.1263,-0.1058,0.1132,3.8425,-1.0
0.9265,1005.3318,-0.0199,5.0945,0.119,0.0017,-0.1339,-0.1036,0.2509,3.2915,-1.0
0.9142,1006.0844,-0.0202,5.0723,0.125,0.0023,-0.0382,-0.1148,0.329,2.6427,-1.0
0.923,1006.0844,-0.021,7.257,0.106,0.0015,0.1403,-0.1202,0.846,2.9316,-1.0
0.929,1006.0844,-0.0332,7.2762,0.095,0.0019,-0.0111,-0.1035,0.1407,2.7093,-1.0
0.9338,1001.3796,-0.0239,5.0565,0.119,0.0104,-0.0446,-0.1103,0.1188,3.0068,-1.0
0.927,1005.3318,-0.0104,7.2915,0.123,0.0022,-0.1331,-0.1003,0.1552,3.3464,-1.0
0.9238,1006.0844,-0.0158,5.2127,0.126,0.0085,0.2674,-0.1013,0.113,2.3129,-1.0
0.9265,1006.0844,-0.0175,5.1845,0.133,0.0021,-0.1107,-0.0974,0.1852,3.5958,-1.0
0.9352,1005.3318,0.0052,7.3807,0.124,0.0028,0.0324,-0.1094,0.1188,2.3621,-1.0
0.9265,1008.7232,0.0133,5.1953,0.119,0.0032,-0.1377,-0.0723,0.1641,3.6408,-1.0
0.927,1006.0844,-0.0023,7.4213,0.067,0.0031,-0.1793,-0.0802,0.1407,3.7642,-1.0
0.9236,1008.7232,-0.0168,7.372,0.053,0.0055,-0.2867,-0.0723,0.244,3.0988,-1.0
0.928,1007.4808,-0.0173,7.348,0.249,0.0023,0.1123,-0.086,0.1552,3.3691,-1.0
0.9236,1006.0844,0.0109,5.0473,0.127,0.0019,-0.0415,-0.0964,0.1628,3.6235,-1.0
0.9314,1007.4808,0.0183,7.45,0.078,0.0018,-0.0553,-0.0872,0.208,5.4928,-1.0
0.9295,1008.7769,0.0083,7.289,0.097,0.0025,-0.0101,-0.0995,0.9501,6.4777,-1.0
0.9357,1008.7769,0.0084,5.18,0.094,0.0023,0.0179,-0.0998,0.9501,2.3232,-1.0
0.9217,1008.7232,0.0125,7.2893,0.183,0.0019,-0.1054,-0.0794,0.846,2.4404,-1.0
0.9276,1005.3318,0.01,7.421,0.133,0.0016,0.0089,-0.0807,0.2136,2.6859,-1.0
