Sensor-349,Sensor-104,Sensor-511,Sensor-60,Sensor-130,Sensor-211,Sensor-438,Sensor-29,Sensor-125,Sensor-65,Sensor-101,Sensor-122,Sensor-338,Sensor-134,Sensor-167,Sensor-57,Sensor-76,Sensor-472,Sensor-201,Sensor-302,Sensor-126,Sensor-461,Sensor-96,Sensor-198,Sensor-131,Sensor-456,Sensor-184,Sensor-197,Sensor-320,Sensor-181,Sensor-317,Sensor-124,Sensor-470,Sensor-39,Sensor-352,Sensor-453,Sensor-200,Sensor-214,Sensor-15,Sensor-478,Sensor-64,Sensor-69,Sensor-59,Sensor-334,Sensor-350,Sensor-206,Sensor-204,Sensor-66,Sensor-123,Sensor-476,Sensor-574,Sensor-135,Sensor-127,Sensor-500,Sensor-512,Sensor-212,Sensor-22,Sensor-342,Sensor-366,Sensor-444,Sensor-578,Sensor-175,Sensor-173,Sensor-128,Sensor-56,Sensor-446,Sensor-480,Sensor-337,Sensor-202,Sensor-103,Sensor-139,Sensor-434,Sensor-105,Sensor-68,Sensor-100,Sensor-71,Sensor-412,Sensor-281,Sensor-115,Sensor-333,Sensor-147,Sensor-424,Sensor-388,Sensor-250,Sensor-282,Sensor-208,Sensor-542,Sensor-335,Sensor-199,Sensor-48,Good/Bad
0.0181,-0.011,48.9241,3.43,-0.6623,0.0752,3.5914,69.6111,15.99,16.57,0.0002,15.95,1.2731,1010.787,2.5,0.927,-0.0118,10.3578,28.23,0.9185,1.314,14.446,0.0,18.18,0.7101,5.069,37.22,4.6,11.1274,15.64,5.0292,16.04,5.1417,86.8786,0.0132,4.3925,12.48,0.0312,9.5309,4.3367,12.7509,147.1155,4.5556,5.5002,0.1009,6.38,38.963,24.1049,4.361,5.4865,0.2158,44.2527,2.588,0.0,550.8197,0.2434,-6273.75,2.1235,0.0047,0.8548,9.5549,0.4311,0.4311,0.6629,2856.0,0.8698,4.5445,8.7225,4.6,-0.0552,62.7,4.5396,0.0008,0.8641,-0.0567,621.1873,2.8394,0.0214,0.0,1.2731,0.0497,84.3151,0.0,0.0,0.0154,28.23,9.8127,0.1001,0.318,1.3907,-1.0
0.0318,-0.0147,28.5472,2.3755,-0.1419,0.1249,3.3768,68.1111,15.9,17.6245,-0.0005,15.84,1.1525,997.8064,2.3,0.927,0.0005,9.7202,23.55,0.7474,1.163,20.1806,0.0001,18.48,0.6764,4.4254,32.333,3.75,10.1967,15.61,5.0931,15.9,5.2353,87.2,0.0157,4.3936,11.3,0.035,11.6535,5.5946,14.7873,149.0718,4.5556,6.3977,0.0201,8.34,29.924,24.9602,4.809,4.2406,0.2536,36.287,2.708,0.0,0.0,0.0485,-6368.5,2.642,0.006,0.6176,11.2721,0.3105,0.3105,0.7242,2856.0,0.6244,3.8087,9.8963,3.75,0.0212,70.4001,11.9882,0.0001,0.9892,-0.0046,618.3145,3.124,0.0155,0.0,1.1525,0.0491,65.2334,0.0,0.0,0.016,23.55,14.158,0.0816,0.304,1.4053,-1.0
0.0234,-0.0118,56.5998,1.1682,-0.1419,0.0769,4.6647,68.6,15.9,18.8318,-0.0002,15.84,1.6024,997.8064,3.2,0.927,-0.0019,9.5527,26.14,1.0062,1.163,26.1894,0.0,18.01,0.6764,5.1586,38.099,6.13,11.4262,17.85,5.443,15.9,5.0962,86.6662,0.0174,5.0389,11.59,0.0408,10.4761,4.7835,14.4718,147.1727,4.5556,5.288,0.0181,7.04,36.596,26.8972,4.809,5.1424,0.1427,36.287,2.708,530.8057,519.4805,0.0387,-5319.25,2.0335,0.0042,0.7055,6.6571,0.3555,0.3555,0.7242,2856.0,0.7166,4.2032,9.4207,6.13,-0.0492,52.7002,271.2009,-0.001,0.8983,0.0716,621.9,2.3579,0.0127,0.0,1.6024,0.0479,104.161,0.0,0.0,0.0138,26.14,14.158,0.0762,0.267,1.3753,-1.0
0.0282,-0.0112,42.7141,0.1691,-0.5204,0.088,4.6936,68.1778,15.89,19.8309,0.0001,15.91,1.9749,1003.0211,3.2,0.9236,-0.0303,6.1707,29.8,0.8913,1.239,26.2956,0.0,21.11,0.7586,5.1348,38.378,6.34,11.4766,14.43,5.1317,15.94,5.8723,87.0488,0.0327,4.0043,7.61,0.0747,9.3115,18.7344,11.6717,145.0809,4.4987,7.165,0.0348,27.18,30.688,24.6599,4.392,4.246,0.4535,38.9026,2.453,0.0,0.0,0.074,-6366.0,6.5467,0.0052,0.8091,19.5919,0.4061,0.4061,0.6586,2852.0,0.8154,4.9181,12.1675,6.34,-0.0215,61.3999,18.0995,0.0002,1.1275,-0.0167,627.89,2.8677,0.031,0.0,1.9749,0.1825,48.0269,0.0,0.0,0.0513,30.88,10.3597,0.1403,0.453,0.9078,-1.0
0.0228,-0.011,37.3576,2.6491,0.0,0.0769,4.6235,69.2111,15.91,17.3509,-0.0002,15.87,1.6186,1001.3796,3.2,0.927,-0.0199,10.9066,19.92,0.9918,1.541,29.7602,0.0,18.31,0.7717,5.1057,37.566,5.18,11.1455,17.45,4.8905,15.96,5.1735,86.9821,0.0092,4.9178,13.18,0.019,11.6119,9.8527,13.57,147.5745,4.5556,5.8527,0.0151,14.54,40.332,25.1013,4.563,5.6752,0.2423,36.7896,2.51,0.0,664.1509,0.0334,-5651.25,3.9538,0.005,0.7999,10.8826,0.4036,0.4036,0.6567,2856.0,0.8147,3.2008,10.2489,5.18,-0.1245,52.7002,303.9247,-0.0007,0.8697,0.0493,622.3391,2.3579,0.0128,0.0,1.6186,0.0395,95.5829,0.0,0.0,0.0115,19.92,9.9207,0.2419,0.9,1.4036,-1.0
0.0256,-0.0114,37.8022,3.1382,-0.5204,0.077,3.9365,68.5889,15.89,16.8618,-0.0002,15.91,1.3313,1003.0211,2.7,0.9265,-0.012,9.2628,18.97,0.8253,1.239,20.2698,0.0,20.45,0.7586,4.4957,33.041,4.27,10.267,14.98,4.1069,15.94,5.7771,86.6582,0.0147,4.2189,11.1,0.0314,7.7716,9.1637,13.4267,148.0836,4.5501,6.0129,0.0253,13.57,30.804,24.5541,4.392,4.3362,0.3154,38.9026,2.453,0.0,0.0,0.0561,-5397.5,3.6258,0.005,0.523,14.4164,0.2635,0.2635,0.6586,2858.0,0.531,3.9411,10.241,4.27,0.0157,58.8999,351.5823,0.0001,0.9588,-0.0102,621.9036,2.7233,0.0184,0.0,1.3313,0.0376,54.2743,0.0,0.0,0.0113,24.51,10.3597,0.1279,0.463,1.3452,-1.0
0.0168,-0.0105,69.3587,4.4364,-0.6623,0.0603,1.7575,68.2778,15.99,15.5636,0.0002,15.95,2.7646,1010.787,1.2,0.9313,-0.0098,23.5523,9.39,0.4438,1.314,24.5781,0.0,22.51,0.7101,2.3865,17.227,11.14,5.5879,20.79,6.2098,16.04,6.4218,86.6662,0.0098,5.9303,27.04,0.0229,11.1189,7.3247,9.8018,151.1327,4.5229,7.2543,0.0217,11.07,24.918,21.5368,4.361,3.5582,0.2395,44.2527,2.588,0.0,911.1111,0.0522,-5451.25,3.2951,0.0046,0.7055,12.2576,0.3555,0.3555,0.6629,2873.0,0.7166,3.0723,11.652,11.14,-0.013,52.7002,370.9861,-0.0004,1.0693,0.0335,616.4682,2.3579,0.0155,0.0,2.7646,0.0534,47.3788,0.0,0.0,0.0145,18.94,9.8127,0.1998,0.737,1.467,-1.0
0.0308,-0.0123,44.6247,2.1045,-0.5204,0.1025,4.1928,69.1667,15.89,17.8955,0.0002,15.91,1.2451,1003.0211,2.9,0.928,-0.0111,9.9456,11.39,1.0524,1.239,22.8028,0.0,26.17,0.7586,4.9451,36.687,4.14,11.0923,24.86,7.4426,15.94,7.2197,87.0735,0.0133,6.8908,12.05,0.0286,6.2743,10.5022,12.1355,146.6364,4.5337,8.8458,0.0292,15.4,37.077,22.9633,4.392,5.1573,0.8108,38.9026,2.453,590.3226,347.8261,0.0646,-6358.25,4.189,0.0055,0.631,37.5154,0.3178,0.3178,0.6586,2848.0,0.6403,4.2838,12.603,4.14,0.0134,60.8999,1.441,-0.0009,1.018,0.0642,630.2764,2.7893,0.022,0.0,1.2451,0.0349,53.9983,0.0,0.0,0.0101,27.0,10.3597,0.3698,1.157,0.9293,-1.0
0.0158,-0.0095,45.5026,3.9818,0.0473,0.0533,3.4425,66.8111,15.93,16.0182,0.0,15.82,3.1327,1003.4291,2.3,0.9337,-0.0136,13.3953,19.85,0.7219,1.295,20.2286,-0.0002,16.54,0.7888,4.2114,30.717,9.49,9.0456,16.95,5.7653,15.84,4.7358,87.0488,0.0279,4.8264,16.25,0.0659,9.0689,11.3416,12.4728,143.8073,4.5319,5.2121,0.0231,16.31,38.019,21.1459,4.248,5.3681,0.4246,36.1632,2.499,202.7959,865.3061,0.0489,-5496.75,3.976,0.008,0.8091,17.7272,0.4061,0.4061,0.6068,2834.0,0.8154,3.2309,10.0485,9.49,-0.2527,45.7,179.7438,-0.0006,1.0984,0.0456,614.3736,2.0957,0.0128,0.0,3.1327,0.0371,58.2099,0.0,0.0,0.0124,19.85,12.4925,0.0857,0.246,1.3861,-1.0
0.0244,-0.0098,53.265,2.8182,0.0,0.0887,4.2898,69.9333,15.91,17.1818,-0.0001,15.87,1.1612,1001.3796,3.0,0.9257,-0.0047,9.0537,15.8,0.9708,1.541,14.4248,0.0,20.01,0.7717,5.1934,38.305,3.22,11.3105,24.28,6.7766,15.96,5.6368,86.8269,0.0304,6.777,11.15,0.0638,9.0989,6.4263,8.3951,145.4964,4.5024,6.5395,0.0237,9.35,34.614,22.6844,4.563,4.8419,0.4433,36.7896,2.51,0.0,0.0,0.0482,-6335.25,3.0505,0.0032,0.6486,21.8124,0.3263,0.3263,0.6567,2859.0,0.6566,3.3689,10.2333,3.22,-0.0316,45.3999,5.2025,-0.0004,0.9786,0.0288,623.6409,2.0446,0.0208,0.0,1.1612,0.0632,56.2925,0.0,0.0,0.0163,21.01,9.9207,0.1441,0.507,0.8869,-1.0
